timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762554210.2438598,2.83649,0.06645,0.7551,-0.72429,0.70175,0.65534,272,44,16,158,46,294,100,17,250,35,33,138,203,59,12,138
1762554218.5149887,2.75907,0.06832,0.65011,-0.73415,0.70575,0.66906,259,64,17,123,46,308,116,19,231,46,18,140,188,59,10,160
1762554226.8172941,2.78925,0.06726,0.656,-0.74163,0.70136,0.69027,288,63,23,126,37,271,93,17,241,33,33,135,224,58,12,158
1762554235.0976593,2.78937,0.06784,0.68803,-0.72247,0.73585,0.64302,282,56,17,113,42,279,112,21,238,31,25,130,218,61,17,141
1762554243.4027083,2.64493,0.07038,0.58099,-0.71812,0.6713,0.67452,255,77,20,111,47,276,108,16,222,39,32,139,218,62,14,173
1762554251.6936374,2.65791,0.06983,0.57464,-0.70975,0.70387,0.66964,256,75,29,129,41,275,102,23,225,41,24,149,227,59,15,147
1762554259.9903734,2.67944,0.06962,0.61587,-0.7032,0.71983,0.64055,260,73,19,127,49,267,106,16,264,35,30,135,220,59,19,136
1762554268.2714226,2.61862,0.07216,0.62637,-0.69421,0.66341,0.63462,262,67,18,108,51,303,107,23,236,37,32,105,203,65,11,137
1762554276.5660892,2.7913,0.06793,0.65895,-0.73709,0.76106,0.6342,251,65,16,143,40,267,103,16,266,28,26,132,205,57,20,139
1762554284.85323,2.78975,0.06836,0.66368,-0.73086,0.75169,0.64352,248,59,16,123,43,275,98,15,242,33,22,146,212,61,16,143
1762554293.1310875,2.75223,0.06768,0.63291,-0.77885,0.70213,0.63834,245,69,18,142,36,282,88,10,255,42,28,145,233,69,14,143
1762554301.436786,2.65434,0.06957,0.67432,-0.73893,0.62118,0.61991,270,56,22,131,44,254,119,12,276,54,39,122,218,67,17,140
1762554309.7205288,2.75468,0.06849,0.60722,-0.7552,0.71784,0.67442,259,69,18,97,43,298,82,10,258,30,38,156,222,55,15,138
1762554318.0301626,2.65944,0.07046,0.6531,-0.70667,0.6789,0.62077,249,64,17,137,51,278,106,15,237,40,30,129,215,72,12,144
1762554326.3299298,2.71667,0.06821,0.60515,-0.71488,0.74371,0.65293,251,69,23,123,41,291,118,27,235,32,24,146,236,67,13,145
1762554334.6153374,2.65539,0.07002,0.63128,-0.70678,0.68233,0.635,288,79,20,150,48,283,107,19,238,38,33,138,198,61,12,129
1762554342.9072263,2.6296,0.07177,0.63636,-0.72998,0.70507,0.55819,264,66,18,114,43,260,118,16,227,35,29,143,201,78,15,127
1762554351.177857,2.81431,0.06664,0.62677,-0.76722,0.76211,0.6582,281,69,23,120,33,280,92,16,264,32,22,136,212,55,19,147
1762554359.481391,2.73336,0.06895,0.66816,-0.74684,0.69888,0.61949,259,56,18,113,42,295,119,18,244,40,27,134,191,67,15,158
1762554367.8073144,2.65364,0.06951,0.59136,-0.71429,0.6861,0.6619,281,87,17,124,53,280,128,15,234,36,34,142,206,59,12,143
