datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 16:10:54.608639002,,,,,,,0.7599226661864569,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:10:54.608639002,-0.1719889437144368,-0.0905125408942202,-0.2534653465346534,0.5859944718572184,0.5452562704471101,0.6267326732673267,,28.0,28.0,0.0,,,
2026-07-01 16:11:51.626391888,-0.1471157498688566,-0.1077908217716115,-0.1864406779661017,0.5735578749344283,0.5538954108858057,0.5932203389830508,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:11:51.626391888,,,,,,,0.8686146322355945,28.0,28.0,0.0,,,
2026-07-01 16:12:48.865108967,,,,,,,0.7974473665730768,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:12:48.865108967,-0.138664634984541,-0.0842332613390928,-0.1930960086299892,0.5693323174922704,0.5421166306695464,0.5965480043149946,,28.0,28.0,0.0,,,
2026-07-01 16:13:46.159775019,-0.1075788293145839,-0.0502092050209205,-0.1649484536082474,0.5537894146572919,0.5251046025104602,0.5824742268041238,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:13:46.159775019,,,,,,,0.853973423585133,28.0,28.0,0.0,,,
2026-07-01 16:14:42.912192106,-0.1483214909220867,-0.0794341675734494,-0.217208814270724,0.5741607454610433,0.5397170837867247,0.608604407135362,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:14:42.912192106,,,,,,,0.9686874836690204,28.0,28.0,0.0,,,
2026-07-01 16:15:40.126734018,,,,,,,1.040607504449689,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:15:40.126734018,-0.0941359812947474,-0.0495258166491043,-0.1387461459403905,0.5470679906473737,0.5247629083245522,0.5693730729701952,,28.0,28.0,0.0,,,
2026-07-01 16:16:37.429083109,-0.080299673344901,-0.0583153347732181,-0.1022840119165839,0.5401498366724505,0.5291576673866091,0.551142005958292,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:16:37.429083109,,,,,,,1.0722951014120192,28.0,28.0,0.0,,,
2026-07-01 16:17:34.597099066,,,,,,,1.0345058894462915,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:17:34.597099066,-0.1030732892187067,-0.1550218340611353,-0.0511247443762781,0.5515366446093534,0.5775109170305677,0.5255623721881391,,28.0,28.0,0.0,,,
2026-07-01 16:18:33.700267076,-0.1307698748479311,-0.1853403141361256,-0.0761994355597366,0.5653849374239656,0.5926701570680628,0.5380997177798683,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:18:33.700267076,,,,,,,0.9561323966554776,28.0,28.0,0.0,,,
2026-07-01 16:19:36.823740959,-0.0953334954134445,-0.1157205240174672,-0.0749464668094218,0.5476667477067223,0.5578602620087336,0.5374732334047109,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:19:36.823740959,,,,,,,1.0437679443556174,28.0,28.0,0.0,,,
2026-07-01 16:20:34.618195057,,,,,,,0.9957521394446652,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:20:34.618195057,-0.1140561375362841,-0.1670190274841437,-0.0610932475884244,0.557028068768142,0.5835095137420718,0.5305466237942122,,28.0,28.0,0.0,,,
2026-07-01 16:21:32.029330969,,,,,,,1.032219351709428,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:21:32.029330969,-0.0922887176527829,-0.1775280898876404,-0.0070493454179254,0.5461443588263915,0.5887640449438202,0.5035246727089627,,28.0,28.0,0.0,,,
2026-07-01 16:22:29.539007902,,,,,,,0.9155818723917516,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:22:29.539007902,-0.1399485125313163,-0.2809734513274336,0.0010764262648008,0.5699742562656582,0.6404867256637168,0.4994617868675995,,28.0,28.0,0.0,,,
2026-07-01 16:23:26.578282118,-0.1180650048077795,-0.2061403508771929,-0.029989658738366,0.5590325024038898,0.6030701754385965,0.5149948293691831,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:23:26.578282118,,,,,,,0.9126260612089117,28.0,28.0,0.0,,,
2026-07-01 16:24:23.775810003,-0.1167267504502566,-0.2729145211122554,0.039461020211742,0.5583633752251284,0.6364572605561277,0.480269489894129,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:24:23.775810003,,,,,,,0.897482059662167,28.0,28.0,0.0,,,
2026-07-01 16:25:20.473169088,,,,,,,0.7773447475983124,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:25:20.473169088,-0.1251979984160126,-0.2445820433436532,-0.005813953488372,0.5625989992080063,0.6222910216718266,0.502906976744186,,28.0,28.0,0.0,,,
2026-07-01 16:26:17.209577084,-0.1824973876698014,-0.3195402298850575,-0.0454545454545454,0.5912486938349006,0.6597701149425287,0.5227272727272727,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:26:17.209577084,,,,,,,0.6566324131258966,28.0,28.0,0.0,,,
2026-07-01 16:27:14.295028925,,,,,,,0.7500260980542192,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:27:14.295028925,-0.1767535941156803,-0.4066666666666667,0.0531594784353059,0.5883767970578402,0.7033333333333334,0.473420260782347,,28.0,28.0,0.0,,,
2026-07-01 16:28:11.624032021,-0.2010815205967074,-0.3743257820927724,-0.0278372591006423,0.6005407602983537,0.6871628910463862,0.5139186295503212,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:28:11.624032021,,,,,,,0.5945584894196532,28.0,28.0,0.0,,,
2026-07-01 16:29:08.985023975,-0.181168564127619,-0.3242320819112628,-0.0381050463439752,0.5905842820638095,0.6621160409556314,0.5190525231719877,,28.0,28.0,0.0,0.0,0.0,0.0
